date;global_EUI_equally_weighted;global_EUI_GDP_weighted
01/01/1996;1,067854277;0,35823236
01/02/1996;1,843754508;0,373171832
01/03/1996;1,302132473;0,203097905
01/04/1996;1,075472465;0,317945301
01/05/1996;1,705031318;0,711227613
01/06/1996;0,728357325;0,086114468
01/07/1996;1,124464123;0,441029685
01/08/1996;1,955938179;0,267349214
01/09/1996;0,764277602;0,316085142
01/10/1996;1,189795407;0,243469087
01/11/1996;1,222351618;0,37527501
01/12/1996;0,742651124;0,076426743
01/01/1997;1,37051753;0,306316158
01/02/1997;1,230571416;0,380584158
01/03/1997;1,837796748;0,222868571
01/04/1997;1,261887621;0,183857559
01/05/1997;1,554425628;0,559767449
01/06/1997;1,954081573;0,239229829
01/07/1997;1,008817397;0,487011673
01/08/1997;2,223349569;0,541588349
01/09/1997;2,215030637;0,192389497
01/10/1997;1,38567229;0,249745089
01/11/1997;1,105118998;0,618200893
01/12/1997;2,942300399;0,17490668
01/01/1998;1,473379377;0,404934589
01/02/1998;2,50670978;0,530210299
01/03/1998;1,939919312;0,876395101
01/04/1998;1,429982283;0,202529774
01/05/1998;2,045448589;0,716604225
01/06/1998;1,678560825;0,466979167
01/07/1998;2,200255501;0,38666984
01/08/1998;1,463184947;0,940468565
01/09/1998;2,014002201;0,225484246
01/10/1998;1,864533219;0,537638928
01/11/1998;2,486628623;0,625123798
01/12/1998;1,635647845;0,756554944
01/01/1999;2,171072492;0,521330122
01/02/1999;1,792338054;1,124281581
01/03/1999;1,63349711;0,153282356
01/04/1999;1,936392003;0,54079899
01/05/1999;1,665852906;0,920697107
01/06/1999;2,882717117;0,10534774
01/07/1999;1,185838691;0,187385772
01/08/1999;1,361966218;0,52780995
01/09/1999;1,220461768;0,026962631
01/10/1999;1,021902459;0,448726363
01/11/1999;1,495701699;0,347158814
01/12/1999;1,073591018;0,07951461
01/01/2000;0,723948829;0,132768396
01/02/2000;0,965103776;0,569743838
01/03/2000;0,940308874;0,02481873
01/04/2000;1,09930483;0,073758777
01/05/2000;0,965673459;0,67076955
01/06/2000;0,967551415;0,956545496
01/07/2000;0,924286638;0,828712181
01/08/2000;0,921120542;0,87488256
01/09/2000;0,998518417;1,177093183
01/10/2000;1,284592891;1,201644808
01/11/2000;1,397532106;1,403603666
01/12/2000;1,00514494;0,970673669
01/01/2001;1,106910151;1,031299585
01/02/2001;1,065344867;1,024681609
01/03/2001;0,932437656;0,967487023
01/04/2001;1,046190016;1,089395119
01/05/2001;1,015391927;0,971548584
01/06/2001;1,00149767;1,189426962
01/07/2001;1,016361471;1,006962993
01/08/2001;1,181249695;1,102781652
01/09/2001;1,052794314;1,147735329
01/10/2001;1,137028207;1,213745956
01/11/2001;1,010804914;0,994988407
01/12/2001;1,10653055;1,037613979
01/01/2002;1,179963696;0,978658796
01/02/2002;1,169110944;0,957970291
01/03/2002;0,98243421;0,918487073
01/04/2002;0,580435403;0,595432466
01/05/2002;0,125422692;0,128062903
01/06/2002;0,028439382;0,060785732
01/07/2002;0,047424725;0,065154428
01/08/2002;0,046036626;0,080660669
01/09/2002;0,011288705;0,038385382
01/10/2002;0,792881235;0,721952263
01/11/2002;1,104962868;1,713966483
01/12/2002;1,106389692;1,126576354
01/01/2003;0,96547053;1,205380938
01/02/2003;1,241950534;1,648325968
01/03/2003;1,177042469;1,366439054
01/04/2003;1,062185042;1,850990776
01/05/2003;1,39486945;1,707272136
01/06/2003;0,921730083;0,974446138
01/07/2003;1,082150814;1,041368505
01/08/2003;1,137388867;1,124183496
01/09/2003;0,895279393;0,984338882
01/10/2003;0,931507285;1,014164973
01/11/2003;0,932016741;0,827601298
01/12/2003;0,795969861;0,761957522
01/01/2004;0,992727174;0,885071755
01/02/2004;0,795420541;0,775676738
01/03/2004;0,846399526;0,67279133
01/04/2004;0,841431309;0,744087087
01/05/2004;0,845967368;0,802745117
01/06/2004;1,08611581;1,099983994
01/07/2004;1,016844236;0,81128654
01/08/2004;1,111158685;1,36099168
01/09/2004;1,134686673;1,205899924
01/10/2004;1,262465759;1,382125481
01/11/2004;1,303559633;1,425250354
01/12/2004;1,154807526;1,355526377
01/01/2005;1,190840076;1,035987919
01/02/2005;1,489070308;1,220470421
01/03/2005;1,311034813;1,375268968
01/04/2005;1,366765669;1,198695262
01/05/2005;1,293929006;1,293447544
01/06/2005;1,298151146;1,341918742
01/07/2005;1,470579163;1,510375257
01/08/2005;1,47169212;1,460373214
01/09/2005;1,371494311;2,005413336
01/10/2005;1,647465082;1,327506852
01/11/2005;1,549140776;1,46939825
01/12/2005;1,386722583;1,700582254
01/01/2006;1,399469019;1,550730613
01/02/2006;1,409361348;1,777263388
01/03/2006;1,454286669;1,424621226
01/04/2006;1,271237855;1,736610843
01/05/2006;1,345452862;1,633659468
01/06/2006;1,529452319;1,776297798
01/07/2006;1,292225661;1,589562556
01/08/2006;1,350523858;1,538576302
01/09/2006;1,347635424;1,38873777
01/10/2006;1,29081876;1,203251296
01/11/2006;1,254935585;1,119514915
01/12/2006;1,210144636;1,291149521
01/01/2007;1,198962005;1,130774408
01/02/2007;1,273359497;1,252432863
01/03/2007;1,246743587;1,239169716
01/04/2007;1,211655783;1,035773731
01/05/2007;1,09936885;1,012514162
01/06/2007;1,165987693;1,35381788
01/07/2007;1,019611965;0,895207495
01/08/2007;1,090438729;1,091878409
01/09/2007;1,410886366;1,61597472
01/10/2007;1,258788984;1,324974622
01/11/2007;0,982912657;1,00029983
01/12/2007;0,933629233;1,001067284
01/01/2008;1,037705056;1,167730946
