month;GPR;SHARE_GPR;N10;GPRC_ARG;GPRC_AUS;GPRC_BEL;GPRC_BRA;GPRC_CAN;GPRC_CHE;GPRC_CHL;GPRC_CHN;GPRC_COL;GPRC_DEU;GPRC_DNK;GPRC_EGY;GPRC_ESP;GPRC_FIN;GPRC_FRA;GPRC_GBR;GPRC_HKG;GPRC_HUN;GPRC_IDN;GPRC_IND;GPRC_ISR;GPRC_ITA;GPRC_JPN;GPRC_KOR;GPRC_MEX;GPRC_MYS;GPRC_NLD;GPRC_NOR;GPRC_PER;GPRC_PHL;GPRC_POL;GPRC_PRT;GPRC_RUS;GPRC_SAU;GPRC_SWE;GPRC_THA;GPRC_TUN;GPRC_TUR;GPRC_TWN;GPRC_UKR;GPRC_USA;GPRC_VEN;GPRC_VNM;GPRC_ZAF;;;;;
01/01/1996;75,63;2,27;26316;0,02;0,04;0,05;0,02;0,13;0,04;0,01;0,21;0,06;0,23;0,00;0,08;0,07;0,02;0,32;0,51;0,03;0,03;0,06;0,19;0,18;0,06;0,11;0,07;0,05;0,01;0,05;0,04;0,01;0,05;0,05;0,05;0,77;0,10;0,03;0,01;0,01;0,22;0,05;0,04;1,47;0,02;0,01;0,04;;;;73,90560202;38,56358219
01/02/1996;80,42;2,41;25123;0,02;0,04;0,06;0,01;0,15;0,04;0,01;0,40;0,05;0,31;0,03;0,06;0,09;0,04;0,39;0,70;0,03;0,04;0,03;0,14;0,23;0,15;0,13;0,12;0,10;0,02;0,06;0,04;0,02;0,03;0,06;0,01;0,47;0,06;0,06;0,03;0,00;0,10;0,18;0,03;1,65;0,00;0,01;0,04;;;;;73,31861234
01/03/1996;82,15;2,46;27233;0,01;0,04;0,08;0,00;0,14;0,02;0,01;0,39;0,05;0,22;0,02;0,24;0,10;0,01;0,23;0,51;0,08;0,03;0,01;0,08;0,79;0,10;0,21;0,11;0,07;0,01;0,04;0,09;0,02;0,02;0,05;0,01;0,53;0,10;0,05;0,03;0,01;0,10;0,30;0,02;1,72;0,01;0,01;0,01;;;;;71,64235012
01/04/1996;84,83;2,54;25036;0,02;0,03;0,05;0,03;0,09;0,02;0,00;0,36;0,04;0,18;0,02;0,13;0,04;0,02;0,32;0,50;0,04;0,02;0,02;0,14;0,65;0,09;0,23;0,20;0,04;0,01;0,02;0,02;0,00;0,01;0,05;0,00;0,65;0,05;0,03;0,02;0,01;0,10;0,16;0,05;1,78;0,00;0,01;0,04;;;;;66,84795872
01/05/1996;65,53;1,97;27321;0,03;0,05;0,05;0,01;0,12;0,04;0,01;0,30;0,02;0,22;0,00;0,08;0,07;0,01;0,28;0,49;0,05;0,01;0,03;0,19;0,34;0,04;0,12;0,12;0,06;0,03;0,04;0,05;0,00;0,02;0,01;0,00;0,44;0,07;0,02;0,01;0,00;0,10;0,06;0,02;1,32;0,01;0,02;0,02;;;;;55,14692258
01/06/1996;69,09;2,07;28713;0,01;0,07;0,06;0,02;0,15;0,06;0,02;0,28;0,03;0,23;0,01;0,19;0,06;0,01;0,37;0,71;0,03;0,02;0,03;0,22;0,43;0,10;0,18;0,09;0,05;0,03;0,05;0,07;0,01;0,02;0,03;0,01;0,55;0,27;0,04;0,02;0,03;0,10;0,04;0,05;1,31;0,00;0,02;0,05;;;;;51,76752946
01/07/1996;80,64;2,42;29353;0,03;0,05;0,10;0,02;0,16;0,03;0,01;0,19;0,01;0,18;0,04;0,07;0,08;0,02;0,48;0,82;0,04;0,02;0,09;0,18;0,29;0,08;0,14;0,09;0,09;0,03;0,06;0,03;0,02;0,03;0,03;0,02;0,46;0,26;0,04;0,06;0,01;0,05;0,06;0,00;1,60;0,01;0,01;0,04;;;;;35,58581768
01/08/1996;81,69;2,45;28121;0,02;0,06;0,08;0,01;0,15;0,04;0,01;0,19;0,03;0,20;0,01;0,10;0,06;0,01;0,40;0,73;0,02;0,01;0,05;0,22;0,38;0,06;0,05;0,04;0,13;0,03;0,04;0,02;0,02;0,04;0,01;0,00;0,59;0,16;0,00;0,02;0,00;0,16;0,03;0,02;1,60;0,01;0,01;0,09;;;;;35,12522088
01/09/1996;88,20;2,65;27104;0,02;0,08;0,07;0,02;0,15;0,04;0,01;0,23;0,14;0,29;0,01;0,25;0,10;0,03;0,56;0,94;0,01;0,03;0,04;0,17;0,43;0,07;0,17;0,11;0,20;0,01;0,06;0,08;0,01;0,04;0,03;0,00;0,58;0,40;0,04;0,03;0,01;0,45;0,03;0,03;2,02;0,01;0,02;0,07;;;;;41,0909281
01/10/1996;55,59;1,67;30769;0,03;0,04;0,07;0,02;0,11;0,03;0,01;0,11;0,05;0,13;0,01;0,09;0,05;0,01;0,23;0,47;0,03;0,05;0,05;0,07;0,22;0,03;0,10;0,07;0,06;0,02;0,02;0,07;0,01;0,01;0,07;0,02;0,32;0,05;0,05;0,03;0,00;0,09;0,03;0,02;1,07;0,01;0,00;0,09;;;;;20,14097477
01/11/1996;57,34;1,72;29477;0,03;0,06;0,09;0,02;0,21;0,02;0,03;0,19;0,03;0,12;0,01;0,06;0,08;0,01;0,33;0,54;0,05;0,02;0,03;0,11;0,17;0,09;0,09;0,08;0,08;0,02;0,03;0,03;0,03;0,10;0,07;0,02;0,25;0,07;0,03;0,04;0,00;0,05;0,06;0,04;1,09;0,01;0,01;0,04;;;;;33,93095097
01/12/1996;74,98;2,25;26456;0,02;0,04;0,14;0,04;0,23;0,05;0,01;0,22;0,06;0,22;0,02;0,06;0,15;0,03;0,38;0,81;0,06;0,09;0,03;0,15;0,13;0,08;0,39;0,16;0,06;0,03;0,03;0,03;0,35;0,03;0,11;0,04;0,46;0,07;0,02;0,05;0,01;0,14;0,05;0,04;1,51;0,02;0,02;0,06;;;;;40,47771059
01/01/1997;54,06;1,62;26518;0,00;0,03;0,04;0,02;0,15;0,03;0,02;0,10;0,03;0,12;0,00;0,10;0,06;0,00;0,22;0,63;0,04;0,05;0,03;0,10;0,16;0,05;0,28;0,08;0,06;0,02;0,02;0,05;0,23;0,03;0,04;0,00;0,28;0,10;0,02;0,02;0,00;0,13;0,03;0,02;0,97;0,01;0,02;0,07;;;;;17,76527985
01/02/1997;50,56;1,52;27234;0,02;0,02;0,11;0,01;0,14;0,04;0,01;0,21;0,05;0,15;0,01;0,05;0,16;0,04;0,21;0,57;0,04;0,08;0,05;0,07;0,15;0,06;0,23;0,14;0,08;0,03;0,03;0,04;0,14;0,02;0,12;0,02;0,36;0,05;0,02;0,07;0,00;0,08;0,05;0,06;1,05;0,01;0,00;0,09;;;;;37,16884962
01/03/1997;58,48;1,75;30558;0,01;0,05;0,12;0,02;0,15;0,03;0,01;0,19;0,05;0,20;0,03;0,07;0,13;0,18;0,29;0,59;0,05;0,10;0,02;0,07;0,26;0,16;0,16;0,07;0,08;0,01;0,08;0,04;0,11;0,01;0,11;0,02;0,36;0,08;0,02;0,01;0,01;0,07;0,03;0,06;1,15;0,00;0,00;0,09;;;;;34,24607327
